number,code,name,qualification,duration,conditions
9,MIC1202,مـسُير الإنشاءات لمعالجة الـركاز ,5,30,الثالثة ثانوي
10,MIC1203,جيولوجي المناجم ,5,30,الثالثة ثانوي
11,MIC1204,مخبري في المناجم والمحاجر ,5,30,الثالثة ثانوي
1,MME0702,الفلكنة و هندسة العجلات ,1,12,نهاية الطور الابتدائي
2,MME1201,توازي وموازنة العجلات ,1,12,نهاية الطور الابتدائي
3,MME1801,ميكانيك تصليح الدراجات العادية والنارية ,2,12,الطور المتوسط
4,MME0703,ميكانيك تصليح آليات الورشات ,2,12,الرابعة متوسط
5,MME0704,ميكانيك تصليح الآلات الفلاحية ,2,12,الرابعة متوسط
6,MME0705,ميكانيك تصليح قوارب الصيد واليخت  ,2,12,الرابعة متوسط
7,MME0706,قيادة و صيانة الآلات الفلاحية ,2,12,الطور الابتدائي
8,MME0707,قيادة و صيانة آليات الورشات ,2,12,الطور الابتدائي
9,MME0708,ميكانيك تصليح عـتاد الرّي ,2,12,الرابعة متوسط
10,MME1202,سائق النقالة ,2,12,الطور الابتدائي
11,MME1802,قيادة اليات أشغال الطرقات      ,2,12,الطور الابتدائي
12,MME0709,ميكانيك تصليح مركبات الوزن الخفيف ,3,18,الرابعة متوسط
13,MME0712,ميكانيك تصليح المركبات الصناعية ,3,18,الرابعة متوسط
14,MME0710,ميكانيك تصليح أنظمة الضغط الهوائي و الهيدروليكية  ,3,18,الرابعة متوسط
15,MME0711,ميكانيك تصليح تجهيزات حقن الديازل ,3,18,الرابعة متوسط
16,MME1203,ميكانيك وتصليح اليات المناجم ,3,18,الرابعة متوسط
17,MME1204,مشغل الرافعة ,3,18,الرابعة متوسط
18,MME1205,ميكانيك وتصليح الآلات البحرية ,3,18,الرابعة متوسط
19,MME0713,صيانة مركبات الوزن الخفيف ,4,24,الثانية ثانوي
20,MME0714,صيانة آليات الورشات ,4,24,الثانية ثانوي
21,MME0715,صيانة أليات الفلاحة ,4,24,الثانية ثانوي
22,MME0720,صيانة قوارب الصيد و اليخت  ,4,24,الثانية ثانوي
23,MME1206,قيادة محطة صناعة الخرسانة ,4,24,الثانية ثانوي
24,MME1207,تصليح وصيانة المضخات والتجهيزات الهيدروليكية ,4,24,الثانية ثانوي
25,MME0716,تركيب وصيانة عتاد الري ,5,30,الثالثة ثانوي
26,MME0717,صيانة المركبات الصناعية ,5,30,الثالثة ثانوي
27,MME1803,ميكاترونيك السيارات ,5,30,الثالثة ثانوي
28,MME0718,صيانة آليات الورشات ,5,30,الثالثة ثانوي
29,MME0719,صيانة الآلات الفلاحية ,5,30,الثالثة ثانوي
1,PEC1201,تـربية الأسماك في الأحواض ,1,12,الطور الابتدائي
2,PEC1202,تـربية المحار ,1,12,الطور الابتدائي
3,PEC1801,معالجة المنتجات السمكية ,1,12,نهاية الطور الابتدائي
4,PEC0702,مرمم شباك الصيد  ,2,12,الطور الابتدائي
5,PEC0703,تـربية أسماك الزينة ,2,12,الطور الابتدائي
6,PEC1802,تـربية المائيات ,2,12,الطور المتوسط
7,PEC1203,تـربية اسماك الزينة ,4,24,الثانية ثانوي
8,PEC0705,تـربية المائيات  ,5,30,الثالثة ثانوي
1,TAG1201,عامل المقسم الهاتفي  ,1,12,نهاية الطور الابتدائي
2,TAG1202,"مساعد تقني متخصص في المكتبات، التوثيق و الأرشيف ",2,12,الرابعة متوسط
3,TAG0701,أمين مخزن ,2,12,الرابعة متوسط
4,TAG1203,عون ادراج المعلومات ,2,12,الرابعة متوسط
5,TAG0702,المحاسبة ,3,18,الرابعة متوسط
6,TAG0703,البنوك ,3,18,الرابعة متوسط
7,TAG0704,التأمينات ,3,18,الرابعة متوسط
8,TAG0705,الأمانة ,3,18,الرابعة متوسط
9,TAG1204,مستشار البيع ,3,18,الرابعة متوسط
10,TAG2126,تجاري(تجارة) ,4,24,الثانية ثانوي
11,TAG2121,العبور و الجمركة ,4,24,الثانية ثانوي
12,TAG0708,الأمانة المكتبية ,4,24,الثانية ثانوي
13,TAG0709,المحاسبة ,4,24,الثانية ثانوي
14,TAG0718,التقنيات المحاسبة ,4,24,الثانية ثانوي
15,TAG1205,الشراء و التموين ,4,24,الثانية ثانوي
16,TAG1206,تسيير المخزونات ,4,24,الثانية ثانوي
17,TAG0719,البنــوك ,4,24,الثانية ثانوي
18,TAG0720,التأمينات ,4,24,الثانية ثانوي
19,TAG0721,الاقتصاد و القانون ,5,12,ش ت ت م +  الثالثة ثانوي
20,TAG1801,تسيير المخزنات و اللوجستيك  ,5,30,الثالثة ثانوي
21,TAG0710,التوثيق و الأرشيف ,5,30,الثالثة ثانوي
22,TAG0711,التجارة الدولية ,5,30,الثالثة ثانوي
23,TAG0712,التسويق ,5,30,الثالثة ثانوي
24,TAG0713,أمانة المديرية ,5,30,الثالثة ثانوي
25,TAG0714,المحاسبة و التسيير ,5,30,الثالثة ثانوي
26,TAG0715,البنوك ,5,30,الثالثة ثانوي
27,TAG0716,التأمينات ,5,30,الثالثة ثانوي
28,TAG0717,تسيير الموارد البشرية ,5,30,الثالثة ثانوي
29,TAG1207,المحاسبة و المالية ,5,30,الثالثة ثانوي
30,TAG1802,تسيير تجارة التجزئة ,5,30,الثالثة ثانوي
31,TAG1803,الاستشارة عن بعد ,5,30,الثالثة ثانوي
1,TAV0701,التصوير ,3,18,الرابعة متوسط
2,TAV1806,المشغل الإسقاطي  ,3,18,الرابعة متوسط
3,TAV1801,السمعي البصري / خيار: التقاط الصورة ,4,24,الثانية ثانوي
4,TAV1802,السمعي البصري / خيار: التقاط الصوت ,4,24,الثانية ثانوي
5,TAV1803,السمعي البصري / خيار: تركيب ,4,24,الثانية ثانوي
6,TAV0702,تقنيات استغلال تجهيزات السمعي البصري ,4,24,الثانية ثانوي
7,TAV0703,تقنيات السمعي البصري / خيار: الصورة ,5,30,الثالثة ثانوي
8,TAV0704,تقنيات السمعي البصري /خيار: الصوت ,5,30,الثالثة ثانوي
9,TAV0705,تقنيات السمعي البصري /خيار: التركيب ,5,30,الثالثة ثانوي
10,TAV1201,تقنيات استغلال و صيانة التجهيزات السمعية البصرية ,5,30,الثالثة ثانوي
11,TAV1804,السمعي البصري /خيار: تسيير الإنتاج  ,5,30,الثالثة ثانوي
12,TAV1805,السمعي البصري /خيار: التركيب و ما بعد الإنتاج  ,5,30,الثالثة ثانوي
1,THC1202,إنتاج النسيج /خيار: الحياكة ,1,12,الطور الابتدائي
2,THC1203,إنتاج النسيج /خيار: الغزل ,1,12,الطور الابتدائي
3,THC1204,"إنتاج النسيج /خيار: التلفيف، التجميع و إعادة الفتل ",1,12,الطور الابتدائي
4,THC1205,إنتاج النسيج /خيار: تحضير الغزل ,1,12,الطور الابتدائي
5,THC1206,تحضير الانسجة / خيار: التسدية - التبويش ,1,12,الطور الابتدائي
6,THC1207,تحضير الانسجة / خيار: عاقد- مركب  ,1,12,الطور الابتدائي
7,THC1208,تحضير الانسجة / خيار:  مركب السلسلة    ,1,12,الطور الابتدائي
8,THC1209,منظف ومشحم تجهيزات الغزل ,1,12,الطور الابتدائي
9,THC1210,منظف مشحم تجهيزات النسيج ,1,12,الطور الابتدائي
10,THC0703,ميكانيك تصليح آلات الغرز      ,2,12,الرابعة متوسط
11,THC1212,ميكانيك تصليح آلات الخياطة و الحياكة ,2,12,الرابعة متوسط
12,THC1211,التفصيل الصناعي  ,2,12,الرابعة متوسط
13,THC0701,الخـيـاطــة ,2,12,الرابعة متوسط
14,THC0702,خياطة الألبـسـة الجـاهـزة ,3,18,الرابعة متوسط
15,THC0704,صناعة الأنسجة / خيار: معالجة الأنسجة  ,3,18,الرابعة متوسط
16,THC1213,ميكانيك ضبط آلات النسيج ,3,18,الرابعة متوسط
17,THC1214,ميكانيك ضبط آلات الغزل ,3,18,الرابعة متوسط
18,THC1215,ميكانيك ضبط آلات معالجة الأنسجة ,3,18,الرابعة متوسط
19,THC1216,ميكانيك ضبط آلات تحضير النسيج ,3,18,الرابعة متوسط
20,THC0705,ميكانيك ضبط تجهيزات النسيج ,4,24,الثانية ثانوي
21,THC1217,خياط ألبسة السيدات ,4,24,الثانية ثانوي
22,THC1218,خياط ألبسة الرجال ,4,24,الثانية ثانوي
23,THC1801,نموذج التدرج في صناعة الألبسة  ,4,24,الثانية ثانوي
24,THC1802,أساليب الملابس ,5,30,الثالثة ثانوي
25,THC1803,أساليب النسيج ,5,30,الثالثة ثانوي
26,THC1804,تنظيم و إطلاق النسيج ,5,30,الثالثة ثانوي
27,THC1805,صناعة الأنسجة / خيار: معالجة النسيج ,5,30,الثالثة ثانوي
28,THC1806,إنتاج النسيج / خيار: هياكل النسيج ,5,30,الثالثة ثانوي
29,THC0707,تصميم الأزياء ,5,30,الثالثة ثانوي
30,THC0708,تسيير إنتاج الألبسة ,5,30,الثالثة ثانوي
31,THC0706,صيانة أجهزة صناعة الألبسة,5,30,الثالثة ثانوي
